05:10:39,H,1,A, 139.694, 35.490,  0,-180,   0,02/10/05,02/10/05,05:10:39,SHIRASE
0.00
5, 1.3789E-04, 68.02, 34.40,6.863,4.840,4.333,4.995,-0.65,-0.25
6, 2.6192E-05, 68.02, 34.39,6.874,4.879,4.369,5.034,-0.60,-0.22
7, 9.6436E-05, 68.02, 34.39,6.902,4.779,4.332,5.034,-0.63,-0.23
2.00
1, 1.6022E-12, 70.63, 34.24,6.836,4.995,4.878,5.088,-0.62,-0.21
2, 1.7355E-08, 70.63, 34.24,6.903,4.958,4.956,5.074,-0.66,-0.23
3, 5.5542E-08, 70.63, 34.24,6.831,4.958,4.878,5.073,-0.63,-0.24
4, 9.3369E-08, 70.63, 34.24,6.826,4.958,4.838,5.035,-0.66,-0.25
5, 9.9297E-08, 70.63, 34.24,6.863,4.918,4.837,5.061,-0.71,-0.21
6, 1.9782E-08, 70.63, 34.24,6.863,4.995,4.877,5.035,-0.65,-0.20
7, 6.7993E-08, 70.63, 34.24,6.895,4.995,4.877,5.034,-0.61,-0.23
3.00
1, 1.1444E-12, 71.84, 34.24,6.847,5.074,5.149,5.049,-0.63,-0.24
2, 1.3439E-08, 71.84, 34.24,6.863,4.995,5.149,5.029,-0.70,-0.25
3, 4.1328E-08, 71.84, 34.24,6.863,5.002,5.071,4.996,-0.67,-0.26
4, 6.5407E-08, 71.84, 34.24,6.903,5.046,5.148,5.035,-0.65,-0.19
5, 5.1025E-08, 71.84, 34.24,6.826,5.050,5.138,5.034,-0.63,-0.23
6, 8.8913E-09, 71.84, 34.24,6.863,5.113,5.149,5.004,-0.64,-0.21
7, 2.9488E-08, 71.84, 34.24,6.863,5.054,5.110,5.074,-0.64,-0.22
4.00
1, 9.9182E-13, 73.05, 34.24,6.826,5.151,5.445,5.035,-0.64,-0.24
2, 1.1545E-08, 73.05, 34.24,6.902,5.160,5.461,5.035,-0.59,-0.21
3, 3.4363E-08, 73.05, 34.24,6.826,5.191,5.423,4.997,-0.66,-0.22
4, 5.1857E-08, 73.05, 34.24,6.841,5.151,5.423,5.002,-0.66,-0.23
5, 3.9001E-08, 73.05, 34.24,6.890,5.151,5.423,5.034,-0.64,-0.21
6, 6.6132E-09, 73.05, 34.24,6.864,5.125,5.458,5.034,-0.64,-0.24
7, 2.1966E-08, 73.05, 34.24,6.826,5.129,5.449,5.035,-0.66,-0.24
5.00
1, 1.1444E-12, 74.26, 34.24,6.864,5.207,5.724,5.034,-0.64,-0.24
2, 1.0434E-08, 74.26, 34.24,6.883,5.230,5.735,5.057,-0.65,-0.22
3, 3.0121E-08, 74.26, 34.24,6.826,5.209,5.755,5.034,-0.66,-0.26
4, 4.3388E-08, 74.26, 34.24,6.863,5.191,5.706,5.035,-0.64,-0.20
5, 3.1837E-08, 74.26, 34.24,6.903,5.217,5.735,5.034,-0.65,-0.23
6, 5.3543E-09, 74.26, 34.24,6.835,5.191,5.734,5.035,-0.60,-0.23
7, 1.7830E-08, 74.26, 34.24,6.830,5.230,5.734,5.035,-0.67,-0.22
7.00
1, 9.1553E-13, 76.68, 34.24,6.826,5.372,6.247,5.113,-0.64,-0.23
2, 9.1850E-09, 76.68, 34.24,6.827,5.347,6.279,5.082,-0.63,-0.25
3, 2.5406E-08, 76.68, 34.24,6.826,5.362,6.245,5.114,-0.65,-0.24
4, 3.3874E-08, 76.68, 34.24,6.826,5.348,6.318,5.074,-0.65,-0.20
5, 2.3544E-08, 76.68, 34.24,6.708,5.355,6.241,5.035,-0.64,-0.23
6, 3.8864E-09, 76.68, 34.24,6.861,5.386,6.239,5.059,-0.68,-0.25
7, 1.2894E-08, 76.68, 34.24,6.827,5.347,6.243,5.113,-0.67,-0.23
10.00
1, 7.6294E-13, 80.31, 34.24,0.166,0.167,7.097,5.152,-0.64,-0.24
2, 8.1711E-09, 80.31, 34.24,0.167,0.167,7.098,5.151,-0.68,-0.23
3, 2.1832E-08, 80.31, 34.24,0.167,0.167,7.098,5.131,-0.63,-0.24
4, 2.6817E-08, 80.31, 34.24,0.167,0.167,7.099,5.168,-0.59,-0.22
5, 1.7253E-08, 80.31, 34.24,0.166,0.166,7.099,5.151,-0.69,-0.23
6, 2.7672E-09, 80.31, 34.24,6.826,0.309,7.141,5.154,-0.66,-0.22
7, 9.0858E-09, 80.31, 34.24,0.167,0.167,7.141,5.191,-0.63,-0.26
15.00
